Venue,lat,lng,zip,City,category
Cantina Laredo,32.953412665360034,-96.83422728858886,75001,Addison,Breakfast Spot
Snooze,32.95227573916978,-96.82115778850208,75254,Addison,Breakfast Spot
The Diner of Dallas,32.95298451373935,-96.8666739211559,75234,Dallas,Breakfast Spot
Benedict's Restaurant,32.953678298724085,-96.82951601464728,75254,Dallas,Breakfast Spot
Sunview Cafe,33.12932202611917,-96.67342654571686,75013,Allen,Breakfast Spot
Country Club Cafe,33.04847682390196,-96.56805754384139,75098,Wylie,Breakfast Spot
Eggsellent Cafe,33.020657628903706,-96.91352702307115,75010,Carrollton,Breakfast Spot
Cafe Brazil,32.98363782704414,-96.88960382111208,75006,Carrollton,Breakfast Spot
Huddle House,33.3450401,-96.5888473,75409,Anna,Breakfast Spot
McDonald's,33.06424131162811,-96.88960706045691,75056,Lewisville,Breakfast Spot
Waffle House,33.02336,-96.93662,75010,Carrollton,Breakfast Spot
IHOP,33.06773670744798,-96.88699064451856,75056,The Colony,Breakfast Spot
El Grande Burrito,33.08676376601096,-96.6704129111033,75002,Allen,Breakfast Spot
IHOP,33.00705053210554,-96.97452320697813,75067,Lewisville,Breakfast Spot
Dunkin',33.013077407728396,-97.07211881248742,75022,Flower Mound,Breakfast Spot
Starwood Cafe,33.065295313168335,-97.08077491432371,75028,Flower Mound,Breakfast Spot
Le Peep,33.00921239370595,-97.04560018694362,75028,Flower Mound,Breakfast Spot
Snooty Pig Cafe,33.0741042951983,-97.07559055546336,75077,Highland Village,Breakfast Spot
Seven Mile Cafe,33.07233765542333,-97.05979068287908,75077,Highland Village,Breakfast Spot
First Watch - Plano,33.039862,-96.733903,75075,Plano,Breakfast Spot
Kolache Heaven,33.11014045966596,-96.80943189388975,75034,Frisco,Breakfast Spot
The Original Pancake House,33.09109183783628,-96.81925756207373,75024,Plano,Breakfast Spot
The Nest Cafe,33.1062605,-96.8183874,75034,Frisco,Breakfast Spot
Eggsellent Cafe,33.18092913206428,-96.88628046374414,75033,Frisco,Breakfast Spot
The Depot Cafe,33.15087425799501,-96.82652641420997,75034,Frisco,Breakfast Spot
Dunkin',33.14710431389304,-96.8053036674529,75034,Frisco,Breakfast Spot
First Watch - Frisco,33.124056,-96.804977,75034,Frisco,Breakfast Spot
Dunkin',33.20261415282392,-96.73379045313612,75072,McKinney,Breakfast Spot
Café on the Green at Four Seasons Resort and Club Dallas at Las Colinas,32.86257860439218,-96.95789028992682,75038,Irving,Breakfast Spot
Le Peep,32.86548920422471,-96.94892134936934,75062,Irving,Breakfast Spot
Waffle House,32.87807,-96.68312,75041,Garland,Breakfast Spot
Furr's Fresh Buffet,32.85886820818792,-96.65091229964055,75041,Garland,Breakfast Spot
IHOP,32.85733824130004,-96.64782476676584,75041,Garland,Breakfast Spot
IHOP,32.838740026711704,-96.60070607229648,75150,Mesquite,Breakfast Spot
Waffle House,32.836526,-96.630426,75150,Mesquite,Breakfast Spot
IHOP,32.96301067923561,-96.63995962863075,75040,Garland,Breakfast Spot
Waffle House,32.968131,-96.60637,75048,Sachse,Breakfast Spot
McDonald's,32.970289373130036,-96.60393923521042,75048,Sachse,Breakfast Spot
IHOP,32.784217556639014,-97.05886504481401,75050,Grand Prairie,Breakfast Spot
IHOP,32.67404717736044,-97.00948342554962,75052,Grand Prairie,Breakfast Spot
Waffle House,32.692333,-97.061237,75052,Grand Prairie,Breakfast Spot
Krave,32.590259,-96.953975,75104,Cedar Hill,Breakfast Spot
McDonald's,32.580918088440846,-97.07553796850789,76063,Mansfield,Breakfast Spot
Waffle House,33.028315,-96.992535,75067,Lewisville,Breakfast Spot
Korner Cafe,33.0434699,-97.0173949,75067,Lewisville,Breakfast Spot
Waffle House,32.80941,-96.919885,75060,Irving,Breakfast Spot
IHOP,32.76793306003584,-96.89703305965517,75211,Dallas,Breakfast Spot
Waffle House,32.836467,-96.950424,75061,Irving,Breakfast Spot
Waffle House,32.86162,-96.89108,75220,Dallas,Breakfast Spot
La Margarita,32.84578764165151,-96.99136552406878,75062,Irving,Breakfast Spot
Waffle House,32.857244,-97.009304,75062,Irving,Breakfast Spot
Denny's,33.130647,-97.041427,76210,Corinth,Breakfast Spot
